Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Iceland,Europe,208957,57384.644,0,0,0,186,51.08,0,0,0
Guadeloupe,Americas,203235,50793.004,0,0,0,1021,255.171,0,0,0
El Salvador,Americas,201785,3110.987,0,0,0,4230,65.215,0,0,0
Trinidad and Tobago,Americas,191496,13683.29,0,0,0,4390,313.686,0,0,0
Maldives,South-East Asia,186694,34538.169,0,0,0,316,58.46,0,0,0
Uzbekistan,Europe,172571,515.611,0,0,0,1016,3.036,0,0,0
Namibia,Africa,171998,6769.163,0,0,0,4098,161.281,0,0,0
Uganda,Africa,171829,375.656,0,0,0,3632,7.94,0,0,0
Ghana,Africa,171653,552.42,0,0,0,1462,4.705,0,0,0
Jamaica,Americas,155860,5263.465,0,0,0,3596,121.439,0,0,0
Cambodia,Western Pacific,138940,831.032,0,0,0,3056,18.279,0,0,0
Rwanda,Africa,133194,1028.349,0,0,0,1468,11.334,0,0,0
Cameroon,Africa,125090,471.222,0,0,0,1974,7.436,0,0,0
Malta,Europe,120044,23329.265,0,0,0,877,170.436,0,0,0
Barbados,Americas,109503,38104.567,0,0,0,620,215.746,0,0,0
Angola,Africa,105384,320.645,0,0,0,1934,5.884,0,0,0
French Guiana,Americas,98041,32824.542,0,0,0,413,138.274,0,0,0
Democratic Republic of the Congo,Africa,97697,109.084,0,0,0,1468,1.639,0,0,0
Senegal,Africa,89014,531.62,0,0,0,1971,11.771,0,0,0
Malawi,Africa,88908,464.758,0,0,0,2686,14.041,0,0,0
Côte d’Ivoire,Africa,88338,334.889,0,0,0,835,3.165,0,0,0
Kyrgyzstan,Europe,87949,1348.045,0,0,0,1024,15.695,0,0,0
Suriname,Americas,82588,14078.332,0,0,0,1408,240.014,0,0,0
New Caledonia,Western Pacific,80064,28043.629,0,0,0,314,109.983,0,0,0
French Polynesia,Western Pacific,78623,27988.879,0,0,0,649,231.036,0,0,0
Eswatini,Africa,74882,6454.432,0,0,0,1427,123,0,0,0
Guyana,Americas,73385,9329.962,0,0,0,1299,165.151,0,0,0
Belize,Americas,70782,17801.06,0,0,0,688,173.026,0,0,0
Fiji,Western Pacific,69047,7702.313,0,0,0,885,98.723,0,0,0
Madagascar,Africa,68319,246.719,0,0,0,1425,5.146,0,0,0
Jersey,Europe,66391,61589.484,0,0,0,161,149.356,0,0,0
Cabo Verde,Africa,64238,11553.867,0,0,0,415,74.642,0,0,0
Sudan,Eastern Mediterranean,63993,145.939,0,0,0,5046,11.508,0,0,0
Mauritania,Africa,63714,1370.294,0,0,0,997,21.442,0,0,0
Bhutan,South-East Asia,62697,8125.499,0,0,0,21,2.722,0,0,0
Syrian Arab Republic,Eastern Mediterranean,57423,328.119,0,0,0,3163,18.074,0,0,0
Burundi,Africa,54241,456.16,0,0,0,15,0.126,0,0,0
Guam,Western Pacific,51917,30761.072,0,0,0,416,246.482,0,0,0
Seychelles,Africa,50937,51793.141,0,0,0,172,174.891,0,0,0
Gabon,Africa,48992,2201.162,0,0,0,307,13.793,0,0,0
Andorra,Europe,48015,62143.273,0,0,0,159,205.785,0,0,0
Papua New Guinea,Western Pacific,46864,523.794,0,0,0,670,7.489,0,0,0
Curaçao,Americas,45883,27961.583,0,0,0,305,185.87,0,0,0
Aruba,Americas,44224,41421.426,0,0,0,292,273.495,0,0,0
United Republic of Tanzania,Africa,43078,72.116,0,0,0,846,1.416,0,0,0
Mayotte,Africa,42027,15404.945,0,0,0,187,68.545,0,0,0
Togo,Africa,39513,477.284,0,0,0,290,3.503,0,0,0
Guinea,Africa,38563,293.639,0,0,0,468,3.564,0,0,0
Bahamas,Americas,38084,9684.572,0,0,0,844,214.625,0,0,0
Isle of Man,Europe,38008,44698.466,0,0,0,116,136.419,0,0,0
Guernsey,Europe,35326,54796.178,0,0,0,67,103.928,0,0,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
Lesotho,Africa,34490,1609.99,0,0,0,706,32.956,0,0,0
Haiti,Americas,34301,300.819,0,0,0,860,7.542,0,0,0
Mali,Africa,33152,163.707,0,0,0,743,3.669,0,0,0
Cayman Islands,Americas,31472,47888.01,0,0,0,37,56.299,0,0,0
Saint Lucia,Americas,30052,16365.785,0,0,0,409,222.734,0,0,0
Benin,Africa,28014,231.078,0,0,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,27334,171.985,0,0,0,1361,8.563,0,0,0
Micronesia (Federated States of),Western Pacific,26530,23064.952,0,0,0,65,56.51,0,0,0
United States Virgin Islands,Americas,25389,24313.143,0,0,0,132,126.407,0,0,0
Congo,Africa,25196,456.608,0,0,0,389,7.05,0,0,0
San Marino,Europe,24447,72034.298,0,0,0,126,371.265,0,0,0
Timor-Leste,South-East Asia,23460,1779.369,0,0,0,138,10.467,0,0,0
Burkina Faso,Africa,22056,105.515,0,0,0,396,1.894,0,0,0
Solomon Islands,Western Pacific,21611,3146.237,0,0,0,153,22.275,0,0,0
Liechtenstein,Europe,21477,55428.807,0,0,0,87,224.534,0,0,0
Gibraltar,Europe,20550,60995.518,0,0,0,113,335.401,0,0,0
Grenada,Americas,19693,17501.311,0,0,0,238,211.512,0,0,0
Bermuda,Americas,18860,30285.999,0,0,0,165,264.962,0,0,0
South Sudan,Africa,18368,164.092,0,0,0,138,1.233,0,0,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
Equatorial Guinea,Africa,17130,1220.968,0,0,0,183,13.044,0,0,0
Monaco,Europe,16918,43109.775,0,0,0,67,170.727,0,0,0
Tonga,Western Pacific,16821,15914.66,0,0,0,12,11.353,0,0,0
Samoa,Western Pacific,16778,8456.057,0,0,0,31,15.624,0,0,0
Marshall Islands,Western Pacific,16119,27230.8,0,0,0,17,28.719,0,0,0
Nicaragua,Americas,15984,241.284,0,0,0,245,3.698,0,0,0
Dominica,Americas,15760,21891.625,0,0,0,74,102.791,0,0,0
Djibouti,Eastern Mediterranean,15690,1588.057,0,0,0,189,19.13,0,0,0
Central African Republic,Africa,15367,318.173,0,0,0,113,2.34,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,14198,24667.721,0,0,0,41,71.234,0,0,0
Gambia,Africa,12626,522.455,0,0,0,372,15.393,0,0,0
Saint Martin,Americas,12324,31878.735,0,0,0,46,118.989,0,0,0
Vanuatu,Western Pacific,12019,3913.135,0,0,0,14,4.558,0,0,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Yemen,Eastern Mediterranean,11945,40.049,0,0,0,2159,7.239,0,0,0
Sint Maarten,Americas,11051,25770.72,0,0,0,92,214.542,0,0,0
Eritrea,Africa,10189,287.304,0,0,0,103,2.904,0,0,0
Bonaire,Americas,9864,47162.324,0,0,0,33,157.781,0,0,0
Saint Vincent and the Grenadines,Americas,9631,8681.269,0,0,0,124,111.772,0,0,0
Guinea-Bissau,Africa,9614,488.516,0,0,0,177,8.994,0,0,0
Niger,Africa,9515,39.307,0,0,0,315,1.301,0,0,0
Comoros,Africa,9109,1047.492,0,0,0,160,18.399,0,0,0
Antigua and Barbuda,Americas,9106,9298.573,0,0,0,146,149.088,0,0,0
American Samoa,Western Pacific,8341,15111.329,0,0,0,34,61.598,0,0,0
Liberia,Africa,8090,159.955,0,0,0,294,5.813,0,0,0
Sierra Leone,Africa,7762,97.305,0,0,0,125,1.567,0,0,0
Chad,Africa,7698,46.865,0,0,0,194,1.181,0,0,0
British Virgin Islands,Americas,7305,24159.143,0,0,0,64,211.661,0,0,0
Cook Islands,Western Pacific,7152,40719.654,0,0,0,2,11.387,0,0,0
Turks and Caicos Islands,Americas,6630,17123.818,0,0,0,39,100.728,0,0,0
Saint Kitts and Nevis,Americas,6607,12421.041,0,0,0,46,86.479,0,0,0
Sao Tome and Principe,Africa,6589,3006.493,0,0,0,80,36.503,0,0,0
Palau,Western Pacific,6220,34379.836,0,0,0,9,49.746,0,0,0
Saint Barthélemy,Americas,5507,55710.673,0,0,0,5,50.582,0,0,0
Nauru,Western Pacific,5393,49778.475,0,0,0,1,9.23,0,0,0
Kiribati,Western Pacific,5085,4257.047,0,0,0,24,20.092,0,0,0
Anguilla,Americas,3904,26023.197,0,0,0,12,79.989,0,0,0
Wallis and Futuna,Western Pacific,3550,31566.779,0,0,0,8,71.136,0,0,0
Saint Pierre and Miquelon,Americas,3426,59119.931,0,0,0,2,34.513,0,0,0
Tuvalu,Western Pacific,2943,24957.598,0,0,0,1,8.48,0,0,0
"Saint Helena, Ascension and Tristan da Cunha",Africa,2166,35677.813,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas),Americas,1923,55211.025,0,0,0,0,0,0,0,0
Montserrat,Americas,1403,28065.613,0,0,0,8,160.032,0,0,0
Sint Eustatius,Americas,1221,38897.738,0,0,0,6,191.144,0,0,0
Niue,Western Pacific,868,53646.477,0,0,0,0,0,0,0,0
Saba,Americas,837,43300.569,0,0,0,2,103.466,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Tokelau,Western Pacific,80,5925.926,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,4,8000,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
